id,screen_name,friends_count,followers_count,self_description
977172189416898560,3jsb_gene_K724,128,31,"鞍手高校 １-２ 🤤❀"" LDH """"＿EXILE＿GENERATIONS / 三代目J Soul Brothers """"""""""""""""""エブリデイ 岩田 白濱"
868061387481792514,YouTube__faosj,100,5,Fischer's・アバンティーズ・おるたな・てみじ・東海オンエア・ジュキヤ・カリブラ・水溜りボンド・レイターズ・すしりく・はじめん…以外のYouTuberも大好きなYouTuberファンの1人です。
976064259690979328,Skypeace_yuu,139,10,🌙🍼🌴👴🐢🐯
945154607788855296,ake01_mi,2948,2589,海外大好き人間✨
989810663580041217,Rau_102,97,13,前の垢消えた…。
969138417350066177,bts19941218,17,3,suita5バスケ#6防弾少年団😘裏垢見るだけ
799142444453351424,YURI1130509,186,196,S h o r i n * . ≫ N i n o m i y a * .
840857482352181248,0lapse0,113,4,
988327502094286848,emika18940128,105,5,
989460672814575616,l5IfF2D5dFbdLms,37,7,
940276835409186816,genkaibusu,37,7,。醜形恐怖の引きこもりおたく。かわいい女の子が好き。勝手に考えすぎて勝手に病む。無言フォローファボRTすみません。
752000729062121472,douteitsuraiyo,64,32,0を1にしたい
986924174001057793,VIWyMhY1vpLJLJ0,11,7,｜日立二｜演劇部｜ぴかちゅう｜
981581013754175488,sstTlbMMQgJwvnY,9,2,よろしゅうお願い致します😆
943399624374501376,___x_ao,17,6,おかやま 笠商 02 ： #kmf2
737986179602087937,XayBoN9RRG7JAzb,357,203,suminoe 46th☻｜ swim♡
2958615008,yukia____0227,399,578,富谷22HR / 人生×僕＝邦ロック
986529834753912832,yrna_77,93,83,"山 田 涼 介 君 担 当 Hey! Say! JUMP

紫 吹 桜 虎 く ん

安定さん➭➭@KouRyo0730"
3145901114,__10s08n,75,12,ちはやふる
740499313785110528,S_581_,292,200,長西▷静女①___Johnny's____西野カナ___@P_K_A_All @かっぱ
703185333274300416,LEO0505_knight,208,14,
2536335401,1223_yu_ki,215,231,"泣いても笑っても１度きりの人生😎
楽しんだもん勝ち🌼愛方💋Aya💕
DIET🌟"
800340034599591936,1010_shio,92,68,カタリナ③
988914938897874945,Rana_jp_,119,30,フォローするだけで恋愛上手になれる💡 ちょっとした恋愛観から夜の事情まで、オトコとオンナの本音を覗きましょう🔍👀
989703507723759617,emi1679,292,118,"アカウント変えました
今中→精和LJK 相方→ @tyoko_1123 大切な彼氏さん → @yoki0216 待っててください。"
924649934443261953,___l0verry,162,107,M!MiC → @_Mimic_official TRANP→@tranp_official No.12 → @no12_model / CANDY HOUSE staff /🍮
924242263642849280,ricoriko1012,247,241,ﾂｸﾀﾞ☞ｱｵﾆｼ 16HR 弓道部 窪田正孝 WANIMA 西田光真 鼻のJK🌼
771911887877308416,5lVaOg1OYfk7XZX,159,153,東三国中 ☞ josho2-10 ¦ YouTuber💞 ¦ 矢本悠馬
1652494890,rnk0106__,472,585,三代目JSB ｜富士市立→社会人🌹
989544679287934977,nanu_nemu,108,38,"月と星のカケラから生まれた


























#フォロバ100パーセント"
